input,target
tatacked,attacked
cavaVry,cavalry
theiQr,their
thoine,thine
evPen,even
senveless,senseless
silfulnegligent,wilfulnegligent
qbut,but
onldy,only
taki,take
anbout,about
ofxicial,official
preseOt,present
abhor,abhor
DotN,Doth
proo,proof
mfythat,maythat
Fti,Fit
nhand,hand
wirnkle,wrinkle
longqd,longed
haughgy,haughty
wonber,wonder
producking,producing
cotyledons,cotyledons
Austian,Austrian
wye,we
ftie,tie
kerchiefs,kerchiefs
Zack,back
diEnner,dinner
WiMh,With
coxmpanion,companion
genrous,generous
HIll,Ill
morsAel,morsel
alsl,all
wtat,what
Onwe,One
lookeRd,looked
moin,main
disforder,disorder
Hwill,will
perraps,perhaps
settleR,settled
cel,cell
ehadlong,headlong
sainGts,saints
powedr,power
hFor,For
aOlready,already
qurtted,quitted
backfior,backfor
aXny,any
rajte,rate
champconship,championship
Whilc,While
HASTINKS,HASTINGS
visqible,visible
Thxe,The
IYI,III
wordd,words
SeCwene,Sewene
pQoposal,proposal
UnQto,Unto
kneFw,knew
Ksir,sir
dancde,danced
tolld,told
woKuld,would
aNlong,along
geFt,get
tsudying,studying
thoGse,those
KuWtuzov,Kutuzov
leavMing,leaving
privtaion,privation
whaEt,what
suXh,such
Xinevitability,inevitability
opeened,opened
beddroom,bedroom
intereszs,interests
gsincere,sincere
conOtempt,contempt
itZself,itself
ftoo,too
sioghed,sighed
PrincVss,Princess
frequetly,frequently
Rwe,we
wWy,why
Teasing,Teasing
Ojolly,jolly
laY,lad
thinkts,thinkst
Cauplets,Capulets
blalroom,ballroom
Balrations,Bagrations
Herebrt,Herbert
renwoned,renowned
maiV,maid
broughFt,brought
dinqing,dining
rCom,room
whVre,where
starde,stared
YourGs,Yours
taies,tails
leavetaknig,leavetaking
IFrench,French
EEizabeth,Elizabeth
poubtthat,doubtthat
insits,insist
upbon,upon
Esteme,Esteem
Bheind,Behind
thitehr,thither
KElizabeth,Elizabeth
tsabs,stabs
proselytps,proselytes
Zhome,home
Rhou,Thou
bexpected,expected
kissign,kissing
sinkiFg,sinking
eaJth,earth
Forgiv,Forgive
diningoom,diningroom
leWt,let
chn,can
disension,dissension
Pieurre,Pierre
symetry,symmetry
phaenomena,phenomena
theEir,their
wJrs,wars
SeEd,Send
uisgust,disgust
drwoned,drowned
nsaty,nasty
Sthan,than
nutshell,nutshell
Geaky,leaky
Wthreaten,threaten
peoclamation,proclamation
Camop,Campo
FormiE,Formio
givemn,given
zhem,them
Revolutaon,Revolution
plUms,plums
noul,soul
osay,say
aimlesVly,aimlessly
Rack,Back
noblJ,noble
holrrible,horrible
senselesswas,senselesswas
unwarpped,unwrapped
zspeak,speak
justlDy,justly
speading,spreading
armZ,arms
wooNd,wood
counJryman,countryman
hMps,haps
JRulie,Julie
Yrussia,Prussia
oDur,our
Farewlell,Farewell
hefarts,hearts
HHs,His
golde,golden
uncontrolld,uncontrolld
enfranchisement,enfranchisement
fglled,filled
Mortioers,Mortiers
whicO,which
approacUed,approached
tabkle,table
caulLdron,cauldron
MigVht,Might
qGiet,quiet
confins,confines
Oxsord,Oxford
makrry,marry
noGne,none
Welc,Well
imaginaions,imaginations
hfil,hail
hTrry,hurry
Hwever,However
puqt,put
urpose,purpose
argung,arguing
hiAself,himself
Waiit,Wait
fetcch,fetch
pdortfolio,portfolio
gryp,grip
idkeas,ideas
atlkd,talkd
Chanlotte,Charlotte
beTng,being
unHerstand,understand
oWhats,Whats
LIs,Is
bOagging,bragging
doeBnt,doesnt
saimd,said
xeplain,explain
Rosngs,Rosings
Rosigns,Rosings
tChen,then
syet,yet
neath,death
needfuKl,needful
glid,glide
prouFd,proud
relad,read
tAhey,they
MasVer,Master
lceutenant,lieutenant
lPilate,Pilate
entirCely,entirely
vodk,vodka
flsak,flask
CLydia,Lydia
inNinite,infinite
vay,vary
COMINIUDS,COMINIUS
Thah,Than
prixcesses,princesses
fanjies,fancies
feahter,feather
inzffectual,ineffectual
poHitively,positively
hereia,herein
Aftfr,After
moIn,moon
sImile,smile
thoughtreconsidering,thoughtreconsidering
determiniing,determining
probabilities,probabilities
dipfomat,diplomat
gspoons,spoons
helLd,held
Likb,Like
flgod,flood
doaughter,daughter
AlthougCh,Although
embrMoidered,embroidered
courRt,court
uniforD,uniform
hiatherto,hitherto
PavlovJas,Pavlovnas
azreed,agreed
barbaroulsly,barbarously
misused,misused
shadowk,shadows
affiaCced,affianced
iBarclay,Barclay
masterde,mastered
coPlar,collar
mimediately,immediately
Salisbuiy,Salisbury
acocmplished,accomplished
Bvoth,Both
Besseires,Bessieres
Caulaicnourt,Caulaincourt
Haic,Hail
Sirarh,Sirrah
advSise,advise
recompese,recompense
Wlive,live
evlked,evoked
puissance,puissance
eihher,either
taing,taking
niterest,interest
reallt,really
Alseit,Albeit
agaiTst,against
qdeas,ideas
importanp,important
aidiyg,aiding
subjectthis,subjectthis
GLIUCESTER,GLOUCESTER
doCn,down
teary,tears
WLll,Well
benyfactor,benefactor
Easten,hasten
RostovWs,Rostovs
staikd,staid
unaccutomed,unaccustomed
coars,coarse
SFwear,Swear
casilis,Vasilis
grdually,gradually
seAeral,several
thxusand,thousand
goE,got
arrangend,arranged
bendng,bending
peJple,people
Tirty,dirty
nwtes,notes
implroed,implored
Rmstov,Rostov
inquirinQg,inquiring
HKe,He
stould,should
pitstol,pistol
famce,face
mpale,pale
expectned,expected
thege,there
cmapfire,campfire
bazed,blazed
brightesr,brighter
notKes,notes
famliar,familiar
clumns,columns
inTstead,instead
lovoe,love
violentes,violentest
wvould,would
peruhaps,perhaps
tXils,tails
merDly,merely
thUen,then
juMge,judge
disconcerteQ,disconcerted
glanceGd,glanced
Gisheveled,disheveled
WelSl,Well
hiHmself,himself
farf,farm
bushDs,bushes
glhnced,glanced
Fyirst,First
GThough,Though
ilnjured,injured
gettleman,gentleman
Conceives,Conceives
lkies,likes
qHuarter,quarter
unpracticed,unpracticed
sgeveral,several
Syousit,yousit
eX,em
afternOoon,afternoon
growin,growing
greaFt,great
hersXelf,herself
pwork,work
uAp,up
rmearked,remarked
grayve,grave
contLrary,contrary
BiG,Bid
devisxe,devise
hFome,home
Nsome,some
witten,written
shirXt,shirt
yMurderer,Murderer
NK,No
daughtyr,daughter
loered,lowered
mavors,favors
valt,valet
Ggood,good
Qyour,your
cherefully,cheerfully
aiably,amiably
hCre,here
throE,throw
Aworse,worse
bwd,bawd
droppeYd,dropped
therke,there
lwaful,lawful
sDay,say
regert,regret
tfough,though
Pknow,know
ontained,contained
KINdG,KING
asKed,asked
ixportant,important
hipF,hips
sciatica,sciatica
taoke,take
thilg,thing
hereaftr,hereafter
retured,returned
receiWved,received
Yide,side
idow,Widow
Uust,just
onlSy,only
oronation,coronation
arboad,abroad
wWmans,womans
Bgt,But
entlreaties,entreaties
thomght,thought
lthis,this
plzace,place
wVhere,where
Froe,Fore
Rgstov,Rostov
sbettled,settled
lQeft,left
poNor,poor
stockfihses,stockfishes
odts,odds
ugndressed,undressed
Jthou,thou
suppresjs,suppress
purusit,pursuit
acCcent,accent
horsE,horse
goinCg,going
moIved,moved
ovek,over
shie,she
YeWs,Yes
tpale,pale
MERCDTIO,MERCUTIO
goevrned,governed
HUeres,Heres
doeful,doleful
EVWARD,EDWARD
improcved,improved
aCy,any
tqmpt,tempt
WeHl,Well
lipb,lips
fXront,front
behiyd,behind
dancy,dance
plusm,plums
Danile,Daniel
pIs,Is
CORIOLcNUS,CORIOLANUS
lWse,lose
therWs,theres
Zinjustice,injustice
FrNm,From
lhves,loves
unharmd,unharmd
migMt,might
mpossible,impossible
ROlMEO,ROMEO
Princiess,Princess
loonked,looked
cmopanion,companion
Emperov,Emperor
sovreeignty,sovereignty
naturC,nature
actVion,action
elapse,elapsed
travelekr,traveler
koseph,Joseph
severYal,several
unmerous,numerous
confidwd,confided
dependen,dependent
elepments,elements
ritten,written
avided,avoided
leUser,lesser
readinesg,readiness
magnificenc,magnificence
Jesuks,Jesus
frilled,frilled
drawYers,drawers
sFlipperswas,slipperswas
welPl,well
ABRAKAM,ABRAHAM
formerXly,formerly
Kujuzov,Kutuzov
Bqt,But
oTd,old
acquaintanci,acquaintance
dvay,day
MurBerer,Murderer
scarletlyveried,scarletliveried
fellww,fellow
awifes,wifes
Tlady,lady
mourXns,mourns
Varlet,Varlet
tuhou,thou
liesgt,liest
shH,she
chaiRse,chaise
chrm,charm
marsahls,marshals
smiligng,smiling
whosA,whose
orsets,Dorsets
insCtructions,instructions
Jorders,orders
sonilaw,soninlaw
pewculiarly,peculiarly
serioIus,serious
concentBrated,concentrated
kidhearted,kindhearted
agitatoin,agitation
mThe,The
thousmand,thousand
flattreers,flatterers
illbreeding,illbreeding
aBngry,angry
eadored,adored
Aboee,Above
indecisin,indecision
ANTONMIO,ANTONIO
fatKers,fathers
enmitey,enmity
hfair,fair
lern,learn
PhNethon,Phaethon
tmbled,tumbled
frjm,from
Cinister,Minister
hdege,hedge
Bchoose,choose
PETRUCHITO,PETRUCHIO
accAss,access
concentraOted,concentrated
readiess,readiness
peacs,peace
SonYya,Sonya
durinVg,during
whrreof,whereof
Whwhat,Whwhat
matwter,matter
bdlowing,blowing
Eow,now
indecorpus,indecorous
Jsleep,sleep
grevious,previous
hiwmho,himwho
froezn,frozen
Alps,Alps
rongfully,wrongfully
Comit,Commit
Gloucster,Gloucester
Alzl,All
HZw,How
dreadfull,dreadfully
havage,savage
exprss,express
sincer,sincere
hoGrseman,horseman
sumper,supper
SWw,Saw
MOck,Mack
hpaless,hapless
fZthers,fathers
cudgeV,cudgel
knaes,knaves
atp,apt
freWedom,freedom
paing,paying
alFluded,alluded
dtid,did
rbace,brace
DUKnE,DUKE
VINCvENTIO,VINCENTIO
offenJded,offended
SKe,She
Hountess,countess
shomen,showmen
usnk,sunk
ThFey,They
yommon,common
Idone,done
ogads,goads
taisl,tails
pword,word
thqis,this
Hospdtal,Hospital
caltter,clatter
tnives,knives
doYg,dog
asleHp,asleep
breside,beside
mrumured,murmured
oereer,oerpeer
aDlong,along
sYen,seen
befome,before
ortal,mortal
ciiy,city
yDs,yes
Warwicqk,Warwick
dYuke,duke
enfoRced,enforced
meajt,meant
tropoer,trooper
HORATENSIO,HORTENSIO
toZmenting,tormenting
paDce,pace
sizde,side
YMrs,Mrs
Bennjet,Bennet
mats,mast
Iody,body
Bezuhov,Bezukhov
phy,thy
goinT,going
Arb,Arc
kBow,know
enougM,enough
unjderstand,understand
tGry,try
hegr,her
lyin,Ilyin
hasteend,hastened
LEady,Lady
Lucsa,Lucas
conjured,conjured
XIld,Ild
sincx,since
Zowns,gowns
Tongue,Tongue
heartplay,heartplay
virLins,virgins
dwindlXed,dwindled
GRrasim,Gerasim
olXd,old
othIers,others
YFs,Yes
selfsatisgfied,selfsatisfied
eveey,every
suuddenly,suddenly
latst,latest
immediatQe,immediate
arvantage,advantage
Brote,wrote
AlpaTtych,Alpatych
oftetimes,oftentimes
Aisatic,Asiatic
whwile,while
Ceard,heard
anByone,anyone
NicPholas,Nicholas
reVserved,reserved
ednure,endure
toils,toils
sIill,still
Rusyian,Russian
cekrtain,certain
Hupmhrey,Humphrey
Hocur,Hour
sqn,son
stooL,stood
everCbodys,everybodys
facetious,facetious
loMoking,looking
Balaslhev,Balashev
conscirnce,conscience
LSeft,Left
worthiast,worthiest
XPemberley,Pemberley
Xpart,part
monutains,mountains
seTnt,sent
acBute,acute
evTn,even
wOr,Or
dotX,doth
piXns,pins
fighW,fight
gentleamn,gentleman
shrnies,shrines
eEtering,entering
armA,army
eluUde,elude
spicrey,spicery
bven,been
hardqy,hardly
Gtay,stay
Natashaare,Natashaare
drench,French
HORTENSrO,HORTENSIO
dstood,stood
twicthing,twitching
commQand,command
deservm,deserve
humilrity,humility
wKhen,when
nightmap,nightcap
pfrom,from
afrfected,affected
zthrown,thrown
Whilte,White
Rabsbit,Rabbit
oodcock,woodcock
pitcured,pictured
S66,666
faKe,face
liit,lit
Tul,Tula
writtZn,written
Hamburg,Hamburg
Conutess,Countess
gInat,Ignat
Mihska,Mishka
uPierre,Pierre
concludmed,concluded
occe,once
whXle,whole
tYa,tea
behiwnd,behind
lfong,long
yowur,your
Gught,ought
Stirctly,Strictly
Nightly,Nightly
allwoed,allowed
AubertChalme,AubertChalme
myselUf,myself
sermonmaking,sermonmaking
Cpersisted,persisted
reuqest,request
Coing,Coming
unlawfl,unlawful
Pgot,got
rustlign,rustling
resses,dresses
whhse,whose
wondesful,wonderful
coincidente,coincidence
Emzerors,Emperors
pakace,palace
administraton,administration
Drieze,frieze
pvossessed,possessed
advaned,advanced
timely,timely
deek,seek
forZwear,forswear
Mien,Mine
ojpen,open
charapcter,character
surRrised,surprised
AfteU,After
jall,all
tUucked,tucked
omuth,mouth
lookinNg,looking
EWe,We
abiut,about
circumstantilly,circumstantially
evidenvt,evident
beini,being
consequeDtly,consequently
temptationthe,temptationthe
bUegun,begun
cliose,close
mewrit,merit
wnward,inward
Hh,He
Ypage,page
eybes,eyes
flooded,flooded
Sipain,Spain
MariYa,Maria
clurtier,courtier
Wcome,come
loyd,lord
feeE,feet
begpging,begging
mergde,merged
pecrolating,percolating
thUough,through
sandspqead,sandspread
feTar,fear
whifafs,whiffs
Gcomes,comes
milPions,millions
ElLizabeth,Elizabeth
aCrchly,archly
veyw,vewy
wellonly,wellonly
pullekd,pulled
iolicy,policy
doEe,done
aveune,avenue
thSan,than
rcried,cried
aftMr,after
salvatiton,salvation
smight,might
thiZn,thin
ieghteen,eighteen
wiVth,with
prnaced,pranced
turw,turn
drwams,dreams
stilA,still
questioys,questions
Gramerces,Gramercies
TGranio,Tranio
haGppen,happen
CoUme,Come
tKlling,telling
niventory,inventory
particularise,particularise
mostrous,monstrous
stiGll,still
attarctive,attractive
coImander,commander
hKly,holy
Yhought,thought
hmhe,himhe
sanxg,sang
gretaest,greatest
pYleasure,pleasure
seelm,seem
crafily,craftily
Xife,life
lieutenantX,lieutenants
shBre,shire
chtldren,children
recoglnised,recognised
Obsevred,Observed
sunedrs,sunders
sitXting,sitting
frbid,forbid
kmeans,means
starng,staring
orchrad,orchard
HASTIdGS,HASTINGS
someuthing,something
craxcked,cracked
Mademoielle,Mademoiselle
ifrequent,frequent
pareFts,parents
yeaNrs,years
beforheuman,beforehuman
eyets,eyes
IrelQand,Ireland
Nouw,Now
wenczhes,wenches
wronging,wronging
ancientry,ancientry
sxays,stays
Srink,drink
nigIht,night
ledies,ladies
Xiss,kiss
regimenal,regimental
commaPnder,commander
decrUes,decrees
iMform,inform
nocw,now
RostLovs,Rostovs
boxhekr,boxher
bossm,bosom
exposedbeckoned,exposedbeckoned
cyonsider,consider
disohnorablebut,dishonorablebut
Vrest,crest
coxcomb,coxcomb
muskeMs,muskets
dour,Your
pursuvs,pursues
ninfeteenth,nineteenth
entury,century
stadnard,standard
wipth,with
rceeive,receive
cloaD,cloak
witlhout,without
qBestion,question
weant,want
generlal,general
youce,youre
rigoht,right
pelars,pedlars
hoYe,home
questionsand,questionsand
perhapS,perhaps
thEings,things
eivine,divine
intermixd,intermixd
glacned,glanced
opiRnion,opinion
Alexauder,Alexander
Guch,such
govd,good
recolleuted,recollected
pFre,pure
szo,so
tVhinking,thinking
Palm,calm
TGo,To
wipde,wipe
nuRrsed,nursed
Lwong,Long
hithhrto,hitherto
VINCEvNTIO,VINCENTIO
grHay,gray
haIir,hair
Pethyas,Petyas
ucdgel,cudgel
Ubon,Upon
othTers,others
Warwic,Warwick
POMPSY,POMPEY
anterooX,anteroom
CrOMINIUS,COMINIUS
animlas,animals
incompreQhensible,incomprehensible
queitly,quietly
beepn,been
Frence,French
MarriaWes,Marriages
courKtodor,courtodor
kinsamns,kinsmans
bruy,buy
pkronounced,pronounced
Jxperienced,experienced
raisig,raising
francees,fiancees
ragft,raft
PerhaPps,Perhaps
lisvten,listen
nevder,never
anyoneal,anyoneall
lucko,lucky
opposde,opposed
mintuest,minutest
dirtO,dirty
aplmost,almost
begag,began
DMademoiselle,Mademoiselle
Bourionne,Bourienne
describid,described
WhicY,Which
Roes,does
LEONTEm,LEONTES
shaglt,shalt
mtold,told
wjhat,what
MAnd,And
chieYf,chief
reWturn,return
alffectionate,affectionate
paernts,parents
thwack,thwack
disaffs,distaffs
ofG,off
lefOt,left
wouEldst,wouldst
brinzg,bring
Bgracious,gracious
fotrune,fortune
thoL,thou
fBoris,Boris
Oacted,acted
cotcerning,concerning
bluwark,bulwark
rLADY,LADY
farthevr,farther
prices,princes
Jck,Jack
Whoat,What
narrowlYy,narrowly
belonxings,belongings
neighor,neighbor
winging,swinging
horsebackraPised,horsebackraised
garters,garters
vcinity,vicinity
pAossible,possible
interesVting,interesting
wiCd,wild
waers,waters
pyllen,pollen
staerd,stared
mallWws,mallows
sAck,sick
boockases,bookcases
kZeys,keys
WoUuld,Would
pretendued,pretended
mfall,fall
resultiAg,resulting
production,production
ighness,Highness
wearnig,wearing
thankLed,thanked
alternaRe,alternate
RussiZn,Russian
IJs,Is
trAe,true
sympthetically,sympathetically
mtet,met
rboe,robe
haevens,heavens
ODne,One
whisrled,whistled
Provozst,Provost
hibmself,himself
angeed,angered
Trevoke,revoke
havMe,have
sesneless,senseless
minMled,mingled
Vecalled,recalled
wheNre,where
sysetma,systema
concurrende,concurrence
theOse,these
Rnmeo,Romeo
obligatimons,obligations
gwho,who
Nhankful,thankful
thyat,that
lgt,let
upwarr,upward
influencNe,influence
givfe,give
Partake,Partake
triflms,trifles
timeHs,times
lacoinc,laconic
Fverything,everything
riPht,right
askaed,asked
counrty,country
chancD,chance
trani,train
Whqt,What
FBerg,Berg
appeald,appealed
balanec,balance
Aprhl,April
Tjird,Third
disappointde,disappointed
drragoons,dragoons
prBceed,proceed
agVainst,against
Ptyas,Petyas
meetst,meetst
laUrge,large
Darty,party
accompGlish,accomplish
woulz,would
totrure,torture
Bthose,those
beaK,bear
sruch,such
selfconyident,selfconfident
idfference,difference
dotors,doctors
injuncxions,injunctions
heavven,heaven
XENRY,HENRY
somethinD,something
gNone,gone
finj,find
pleasGntly,pleasantly
probbaility,probability
Hull,full
surroundins,surroundings
Talor,Tailor
mountejd,mounted
wJood,wood
LUURENCE,LAURENCE
pgage,page
hanvds,hands
boor,poor
ebgging,begging
misgake,mistake
feverihs,feverish
Ybelow,below
jHurst,Hurst
Wuit,suit
bzrought,brought
bostle,bottle
Qaffect,affect
ovsr,over
niclinations,inclinations
moPe,more
regizent,regiment
horAe,horse
DUKcE,DUKE
VINFENTIO,VINCENTIO
forLm,form
prerty,pretty
agileshe,agileshe
encQhanted,enchanted
crVshing,crushing
edsperate,desperate
whure,where
wisdmo,wisdom
regMime,regime
antiFrench,antiFrench
capteain,captain
enormoous,enormous
folid,foild
paienful,painful
sv,so
widze,wide
zprincess,princess
saRnk,sank
Cmeat,meat
hoTds,holds
handw,hands
BRAKENUBRY,BRAKENBURY
dibd,did
lUok,look
funless,unless
draing,drawing
Iirrah,sirrah
destrNyed,destroyed
mnetal,mental
facied,fancied
conversatiNn,conversation
insignWificant,insignificant
urgwd,urged
YEu,You
Faintnig,Fainting
Coils,Coils
parde,parade
mew,mew
whdole,whole
previouxly,previously
Auerpsergs,Auerspergs
sEee,see
lembassy,embassy
eunfortunate,unfortunate
ingrateflu,ingrateful
injujy,injury
jain,vain
KBng,King
savange,savage
tYhy,thy
perfet,perfect
remaeined,remained
youthfut,youthful
lbindmans,blindmans
bluff,bluff
cgnt,cant
qsee,see
Ligtly,Lightly
AB,As
traitons,traitors
bJth,both
nicaged,incaged
pnished,punished
birn,burn
mstnt,mustnt
VivY,Vive
irrtaionally,irrationally
latzr,later
Wrat,What
leXt,left
doxe,done
resignaation,resignation
peath,death
rfeedoms,freedoms
amillo,Camillo
unavosidable,unavoidable
Ereat,great
Etoo,too
dtard,dotard
breSd,bread
triumphaot,triumphant
garlUnds,garlands
Rseparately,separately
oragnizer,organizer
ThIis,This
sourcv,source
selfcognition,selfcognition
Uooked,looked
revengD,revenge
reveng,revenge
hatWed,hatred
Biacna,Bianca
descrbing,describing
frightned,frightened
POLIWXENES,POLIXENES
nUderstanding,Understanding
atrs,arts
vcharm,charm
clergmyan,clergyman
TLou,Thou
hadKst,hadst
theid,their
nbeg,beg
dsth,doth
deriison,derision
helow,below
Ihalf,half
dsaily,daily
nosw,now
Gobd,God
txplanations,explanations
BsANCA,BIANCA
apture,capture
geryton,Meryton
betng,being
WaFwick,Warwick
transporuted,transported
MalasSha,Malasha
housje,house
briEliant,brilliant
gdown,grown
dnger,danger
Dcart,cart
delicatSe,delicate
shoundst,shouldst
anTil,anvil
shword,sword
unnatral,unnatural
impenAding,impending
canldes,candles
manlO,manly
Hourly,Hourly
afflict,afflict
deatFhs,deaths
harf,half
prisonerswith,prisonerswith
exhaIusted,exhausted
mOultitudinous,multitudinous
rebellino,rebellion
forUmost,foremost
benU,bent
raviRh,ravish
exprXssion,expression
Meary,Mary
Soward,coward
woUk,work
DeniHsov,Denisov
incldue,include
verC,very
campfre,campfire
plede,pledge
commande,commanded
citty,city
txaken,taken
suffeIs,suffers
cield,field
beyound,beyond
higyh,high
saeid,said
Peoageya,Pelageya
PieBre,Pierre
rAnd,And
NataVsha,Natasha
sqearing,swearing
Alicne,Alice
submiting,submitting
thricegracioIus,thricegracious
unVderstand,understand
littlI,little
painxfully,painfully
chilm,child
concaeled,concealed
ProclNim,Proclaim
inumerable,innumerable
parKt,part
Kzng,King
Stree,Street
loFe,love
thoumh,though
beinkg,being
hofw,how
receXved,received
lookjed,looked
bXsom,bosom
undevelopeW,undeveloped
BOLINGBRbOKE,BOLINGBROKE
exhDausted,exhausted
respit,respite
hurriyng,hurrying
sucx,such
mdafor,madfor
cockroachse,cockroaches
sweaUr,swear
ilveliness,liveliness
aHil,Hail
halSl,hall
sAat,sat
outlying,outlying
Dnxious,anxious
imresistibly,irresistibly
jDUCHESS,DUCHESS
RQICHARD,RICHARD
OIII,III
BiHngleys,Bingleys
actiomn,action
chtting,chatting
especialZy,especially
MARINAA,MARIANA
laegue,league
jdrums,drums
nBt,not
ortune,fortune
Lohe,Love
Lucenito,Lucentio
drver,driver
dzown,down
Gjo,Go
keTnnel,kennel
dtd,did
mustached,mustached
occurVed,occurred
Ptrincess,Princess
fdiend,friend
jusntice,justice
Whar,What
diffJcult,difficult
epe,ape
conjGre,conjure
MarciuSs,Marcius
merelK,merely
Lqrd,Lord
Gorrespondence,correspondence
dprling,darling
Unle,Uncle
stildl,still
unpTitied,unpitied
kwhipping,whipping
dwearly,dearly
LabourinV,Labouring
subjEect,subject
Lrrd,Lord
kintted,knitted
aPn,an
unYess,unless
MusIt,Must
deservbes,deserves
Cove,Cover
SiEr,Sir
posiXtion,position
becausfe,because
picturEd,pictured
herlself,herself
hsate,haste
needKul,needful
verQ,very
metWhom,metWhom
gallVantry,gallantry
mucH,much
partVner,partner
faN,far
mucMh,much
fsalt,salt
watRr,water
stlye,style
rvverend,reverend
BUCKINGHAuM,BUCKINGHAM
SICINUIUS,SICINIUS
owmn,own
conycatced,conycatched
alixe,alive
linRe,line
wffice,office
Elizabesth,Elizabeth
Uoman,woman
snetence,sentence
lovesOt,lovest
tasks,tasks
oblvged,obliged
cfew,few
rOepeated,repeated
Dolgorukv,Dolgorukov
prwzing,prizing
munchiJng,munching
Noiw,Now
couhg,cough
Dohtkurov,Dohkturov
Markvo,Markov
expectinh,expecting
Thatj,Thats
caeful,careful
caKled,called
nigCht,night
wrond,wrongd
fatgues,fatigues
WDhat,What
agaiZn,again
fbery,fiery
LCUENTIO,LUCENTIO
daVy,day
twytched,twitched
imaDination,imagination
occurernce,occurrence
Uclouds,clouds
mEre,more
Mesrsenger,Messenger
spectaclAe,spectacle
ntoday,today
hammerd,hammerd
VALERIY,VALERIA
PetBersburg,Petersburg
easiy,easily
spkke,spoke
undretake,undertake
spiritess,spiritless
enbtered,entered
meansm,meanst
helpst,helpst
DDoth,Doth
hajppy,happy
yvur,your
sorrDw,sorrow
haah,hath
gracNe,grace
srteamed,streamed
perIhaps,perhaps
coukld,could
concDive,conceive
grosX,gross
ergeant,sergeant
CLARENCzE,CLARENCE
thePr,their
afraiTd,afraid
Udner,Under
contdmptuous,contemptuous
itsexf,itself
quiety,quietly
reprts,reports
Kfrom,from
doUn,down
hapPy,happy
Bpeak,speak
cretainties,certainties
candot,cannot
paiD,pain
LqUCIO,LUCIO
opinioOn,opinion
vsome,some
dalring,darling
Mummdy,Mummy
civiliety,civility
viFlage,village
chancPs,chances
poast,past
specOial,special
nwsif,newsif
hongrs,honors
ermove,remove
cohinoises,chinoises
gaeity,gaiety
confiednt,confident
Tqey,They
workmanship,workmanship
FrenRch,French
crosVsing,crossing
Konceive,conceive
Szbjects,Subjects
sovereignR,sovereigns
rdoyal,royal
szt,sat
PBerg,Berg
rePlated,related
nexH,next
askMng,asking
renowed,renowned
ANGEiO,ANGELO
occaisonally,occasionally
branhc,branch
mamdans,madmans
AlexeevFch,Alexeevich
xished,wished
Pavlovnawho,Pavlovnawho
luxurios,luxurious
dpown,down
resot,rest
OnRce,Once
Nok,Now
Gdont,dont
mwomen,women
LKve,Love
tajlks,talks
Pitchdark,Pitchdark
Inst,Isnt
laguor,languor
13,31
Secon,Second
Citize,Citizen
wshedfor,wishedfor
streFet,street
wWhile,While
eores,sores
turnmed,turned
colding,scolding
Oriven,driven
shaRll,shall
10Annett,10Annette
foxl,foul
traitoR,traitor
proJud,proud
tacit,tacit
agreemTent,agreement
proimse,promise
bskeptics,skeptics
ergs,Bergs
thinlg,thing
tidinVgs,tidings
kting,king
xeactly,exactly
scarcCe,scarce
armymovied,armymoved
thesx,these
transfeKrs,transfers
jhill,hill
cye,ye
shJouldnt,shouldnt
Layy,Lady
vdid,did
meaE,mean
Dmtrievna,Dmitrievna
whu,who
ieft,left
ollowers,followers
hTt,hot
ELZABETH,ELIZABETH
yielWding,yielding
Hjs,His
rvelld,revelld
EHeter,Exeter
nevFr,never
boHnd,bound
haopiest,happiest
Ihen,Then
shto,shot
gowd,good
Nacashas,Natashas
rollZed,rolled
cossing,crossing
Ibeat,beat
DZnt,Dont
preventbd,prevented
ndevote,devote
sGome,some
youRg,young
Hfark,Hark
wiPl,will
GId,Id
finisy,finish
SZ,So
pooer,power
BeKfore,Before
neckT,necks
mnaes,manes
evCerything,everything
whijh,which
Soooo,Soooop
Subjecst,Subjects
sovereiugns,sovereigns
soXvereign,sovereign
ariesn,arisen
shbort,short
spokL,spoke
tHENRY,HENRY
expressigon,expression
reemmber,remember
struPck,struck
postaster,postmaster
leaLst,least
wideoen,wideopen
riXing,rising
longawaited,longawaited
convqinced,convinced
appetaled,appealed
silelt,silent
silen,silent
ferak,freak
unthinkRable,unthinkable
agMreeable,agreeable
yecause,because
knenw,knew
NurZse,Nurse
Empevror,Emperor
returninQ,returning
shouldeu,shoulder
breask,break
hJme,home
Chimself,himself
cacent,accent
Gnatoles,Anatoles
healdong,headlong
haGze,haze
greIw,grew
iquiringly,inquiringly
yaLrds,yards
Qingers,fingers
resolutio,resolution
Aufidisu,Aufidius
characJteristic,characteristic
chiase,chaise
Meely,Merely
yoWur,your
entrenchmePnts,entrenchments
Bingyley,Bingley
hOangman,hangman
faulkts,faults
neFw,new
pout,out
followin,following
Zaunt,aunt
FKorsake,Forsake
UCLIFFORD,CLIFFORD
furnituer,furniture
hierres,Pierres
Goad,God
growZing,growing
ThaEt,That
shrDnes,shrines
BRevenged,Revenged
straings,strings
DRar,Dear
reveMged,revenged
shrineking,shrinking
iXnocence,innocence
nach,each
eaxpected,expected
shoen,shone
durking,during
indeeq,indeed
hisAtorical,historical
favoCurite,favourite
whpen,when
coarsa,coarse
governmnt,government
Bilkibin,Bilibin
rcuelty,cruelty
YeFthe,Yesthe
